"prot"	"species"	"np_A"	"np_C"	"np_D"	"pd_A"	"pd_B"	"pd_C"	"pd_D"	"tp_pd_A"	"tp_pd_B"	"tp_pd_C"	"tp_pd_D"
"VTC4_YEAST"	"Yeast"	NA	NA	NA	-0.366896203250798	0.0988378649623592	0.53167376989006	0.633942546112984	NA	-1.4668139918161	0.932305135236421	0.1837929085042
"KI67_HUMAN"	"Human"	2.63020287291167	2.9421010860516	2.84251574661678	0.0805122562119651	-3.5154021915452	-0.718470393616502	0.700460287584113	0.60048148161011	-1.45972852416681	0.108300351544553	0.347636375089653
"MAT2B_HUMAN"	"Human"	0.668777027598586	1.11161419413556	1.54403244647048	NA	NA	-0.133420955963352	-0.726250191556659	NA	1.3337697023932	2.05013412641853	0.637555082602989
"CYS3_YEAST"	"Yeast"	NA	0.477953317763958	0.834997247338968	0.590285067301678	-0.207375377460218	0.586345799707339	-0.279930313413001	0.0113726342051938	0.201692965814165	-0.272925730707197	0.135606522880143
"SPTB1_HUMAN"	"Human"	NA	-0.34058236773043	NA	-2.1085321580435	-0.739128827096182	-0.623743147188999	-2.02343391413687	1.64431551035824	0.750594084585011	0.0797209276951849	1.59131140798645
"DDX10_HUMAN"	"Human"	NA	NA	NA	NA	NA	1.32738197347938	NA	NA	NA	3.11418651721365	NA
"CSK2B_HUMAN"	"Human"	NA	NA	NA	NA	NA	-1.91877543691022	NA	NA	NA	NA	NA
"PKN1_HUMAN"	"Human"	NA	NA	NA	0.0763212542090645	NA	0.0774423260434786	NA	0.557879039259818	-0.724929638036043	0.337397756242813	0.96985708448646
"VIME_HUMAN"	"Human"	0.184335650171917	0.443367538534149	-0.0844412933657004	-0.183795416163365	-0.365932434176831	-0.159330254067359	0.027023245267424	-0.0293314241879551	-0.112579870580641	-0.217827980940416	-0.233203614419478
"G3BP1_HUMAN"	"Human"	1.81480753176658	2.04306744931323	NA	0.123938411725082	-1.30449319188529	-0.193453797800501	0.872183932133208	0.582282529035688	0.602564584019833	0.542077824659425	0.606304540536053
"RPP30_HUMAN"	"Human"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.26782252632851
"NDUB8_HUMAN"	"Human"	NA	NA	NA	-0.495251657495848	NA	NA	NA	NA	NA	NA	NA
"ACON_YEAST"	"Yeast"	-0.902371023824884	0.756775987051895	0.652779176321792	0.0226047218161994	-0.203141869568899	0.163374174858577	0.862516149507397	-0.609450699042503	-0.10930378861238	0.0785375150720609	0.559906864078515
"HGH1_HUMAN"	"Human"	NA	0.308289412408478	NA	0.142982162706051	-0.152138005915928	-0.397128950626099	0.131468534030618	0.0698759225995886	-0.293383300520486	0.0624665775097923	-0.0605144075316466
"P5CR2_HUMAN"	"Human"	-2.45348225895381	-1.05617201687845	NA	2.83239850981908	NA	NA	1.5757861965786	NA	NA	NA	NA
"AT1A1_HUMAN"	"Human"	1.16244001330525	1.79648962807439	1.48610082339547	0.0465134975542906	0.122475421670545	0.350660646743877	0.501246424834242	0.15468065807048	0.5713837203612	0.304396394972861	0.0125591098446403
"DX39A_HUMAN"	"Human"	-0.0738013200637141	-0.0332028803188753	-0.387388278673937	-0.144343391235421	0.0632301293444845	0.0633108228081714	0.27811099931237	-0.652640583938154	-0.445119054088002	-0.146801548093669	0.148212974357126
"NU107_HUMAN"	"Human"	NA	NA	NA	0.352215480712161	1.18312437119309	0.674755928290023	0.576379625155263	NA	NA	1.91134640158991	NA
"NXF1_HUMAN"	"Human"	NA	NA	NA	-0.10356181279361	-0.761015154737345	NA	NA	NA	0.51525045267571	-0.771444214883072	NA
"SART3_HUMAN"	"Human"	NA	NA	NA	-0.236386272097858	-0.188923350652858	-0.1415965712445	-0.20358387260234	0.346521499768889	0.17745402630718	-0.469427672159359	-0.946923862029026
"EBP2_HUMAN"	"Human"	0.0307700389438884	NA	NA	0.106862447373182	0.0576927904693045	-0.00216483273267853	0.249649213474586	-0.53031551690395	-0.0885349753138022	-0.0866808559543672	-0.151663841757855
"GGCT_HUMAN"	"Human"	0.0989082083202883	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"TRAP1_HUMAN"	"Human"	-0.493836480643153	-0.799357359269373	-0.562624780534085	-0.210070325615917	0.0177111937488378	-0.0907441694771505	-0.108016541263222	0.269374829559715	0.203077452050463	0.154826071299682	0.550523885842148
"G6PD_HUMAN"	"Human"	0.2202450359145	0.228331223436338	0.731031533676321	-0.253157979980358	-0.216451209915736	0.111608907273373	-0.352215209502011	0.0699130657646516	-0.106786959661052	0.0478655590575179	-0.209829074403945
"UTP20_HUMAN"	"Human"	NA	NA	NA	NA	NA	NA	-1.69898595131793	NA	NA	NA	NA
"SNX12_HUMAN"	"Human"	-0.48005922590416	-0.0317824055396514	NA	NA	NA	NA	NA	NA	NA	NA	NA
"MAGC1_HUMAN"	"Human"	1.79815381108608	NA	NA	0.101048486616581	0.665968585139491	-0.300182121892532	0.325633904001327	0.442985390180038	0.743825687023826	-0.0319654108952625	-1.05480541863855
"TIM50_HUMAN"	"Human"	-0.125042914312421	0.0703182418288831	-0.487664729807896	0.705482466957533	0.0823916220633863	0.649404667697623	-0.502580845984396	0.508075658666821	-0.48322942032614	0.154398749567209	1.6235269954805
"UT14A_HUMAN"	"Human"	1.48846108596004	0.834035884553879	1.64112066002395	-0.415813340949402	-0.107370561259229	-5.61802205470814	3.46210654156824	0.0344686592146627	0.342306303374679	1.37375831656884	1.85699315302314
"EIF3E_HUMAN"	"Human"	-0.616184236242242	-0.42734314477827	-0.413000474983903	-0.631850718675552	-0.491418766721757	-0.258109097416556	-0.310568377017963	-0.659567797104895	-0.160210580965389	0.299418658983712	-0.388197387621976
"EI24_HUMAN"	"Human"	NA	NA	NA	NA	NA	NA	NA	0.509400810639975	NA	NA	NA
"FUBP1_HUMAN"	"Human"	-0.169232600304786	0.239237065171291	0.212700516285194	-0.118253350233196	-0.176270350418297	0.0402256133935679	-0.133708612062579	-0.207710414392539	-0.256349554568533	0.140519992618732	0.194186122148758
"SYIM_HUMAN"	"Human"	0.196185505302954	0.366678453707832	-0.539813806725137	-1.09483527878639	-0.340127653136243	NA	-0.339323285220737	0.0137344706917275	-0.391582279314272	0.793453673100281	NA
"CYPH_YEAST"	"Yeast"	-1.15924450462182	-0.233377227249413	0.100453618639171	-2.11666932716544	-0.039530228100185	0.974500329314892	1.74601352407381	-1.89218562635073	-2.02961598238207	0.361367607861031	0.52697061545508
"HSP60_YEAST"	"Yeast"	NA	0.176178202354794	0.361533308710271	-0.3249717456704	-0.556375503934566	0.157356909382554	0.354477254358617	-1.14775371230769	-0.046915172642111	0.102739732325133	0.0678500892209174
"CDK6_HUMAN"	"Human"	NA	-2.18910327511806	NA	0.991094694757735	-5.24055035735923	-2.69530662898817	-0.200249700730157	NA	NA	1.47494469990762	NA
"ATD3A_HUMAN"	"Human"	0.84528562622153	0.895361579077717	0.426171595502706	-0.139202439213133	0.315338148434638	-0.487411659009699	-0.0889431940581677	0.419600550454103	0.387491139462279	-0.286946905221035	-0.54018452437327
"IF5_HUMAN"	"Human"	-0.0690921254521176	-0.607783628082702	-0.144904465421246	-0.187945621377496	-1.45343140911006	-0.502450518162481	0.0925262719740215	-0.156491222525381	0.329165645136868	0.480275902194486	-0.592657794328578
"AATC_HUMAN"	"Human"	-1.12563604869498	1.54201878578271	0.277753712767789	-0.207964827403212	-0.258595685845477	-0.169395645879327	-0.212790998809554	-0.505293186460193	0.390145538302504	0.1580746772941	-0.762504687571572
"PSME1_HUMAN"	"Human"	-1.09171047803798	-0.970161055855463	-0.947304472157437	NA	NA	NA	NA	NA	NA	NA	NA
"GTR1_HUMAN"	"Human"	0.841896066778703	0.330699273563289	1.34830666265879	-0.346184491704668	0.346536297551879	-0.55627763265772	-0.407242479914527	-0.0337228881500042	-0.343655887106549	-0.303643134926623	-0.574846877554852
"CBX3_HUMAN"	"Human"	0.191224204921663	0.695640790889636	-0.68264181545242	NA	NA	NA	NA	NA	NA	NA	NA
"GCN1_HUMAN"	"Human"	0.514760461809163	0.992629868787403	0.994769601333614	-0.144751622584552	-0.106563085430709	0.121392749882076	-0.233518337182403	-0.300811317250996	-0.368160822074485	-0.125770702543745	-0.127682857947368
"3MG_HUMAN"	"Human"	NA	NA	NA	-0.742478850072372	NA	-0.365456685892003	1.27081033660099	0.359436786351796	-0.00872175771655069	-0.00971249545939895	NA
"U520_HUMAN"	"Human"	0.386804609487802	0.141949139910471	0.575272197075103	-0.185701175417383	-0.373385334715028	-0.17960756525154	-0.39800456104448	0.0530319901344383	-0.225740232345521	-0.155727890428918	0.16196950703918
"NOP2_HUMAN"	"Human"	NA	NA	NA	NA	NA	NA	NA	NA	0.291080521440392	-0.172870649234706	0.205747484254675
"MIC19_HUMAN"	"Human"	0.0462234198356308	0.818703305935348	NA	-0.299653277672828	-0.369608221734917	0.295298764480995	-0.880658999310099	0.0780347390051899	-0.945240501745733	0.315407835354057	-0.0930192895800384
"ATPMK_HUMAN"	"Human"	-0.67064648590665	NA	-0.123421936215142	0.0963892084551474	0.0756875192586524	NA	-0.112798897623951	NA	NA	NA	NA
"PGES2_HUMAN"	"Human"	NA	NA	-0.229760881122782	NA	NA	-0.281857818765982	0.0771370510952984	NA	NA	NA	NA
"NELFB_HUMAN"	"Human"	NA	NA	NA	NA	NA	-3.58146484116873	NA	NA	NA	NA	NA
"TCPE_HUMAN"	"Human"	0.69855116898765	0.713837671755104	0.833640797260441	0.0651425437616759	0.221979830222882	0.0130623633533855	0.259518720312623	-0.336508440564125	-0.541725525555221	-0.419066128357005	-0.878679522040732
"NUP93_HUMAN"	"Human"	0.364018953521726	1.70070557267365	0.145142496246218	-0.135073087388444	-0.233795419133643	-0.39722095926067	-0.630300098370099	-0.22682982262248	-0.401393452230998	0.342660952555011	-0.033647745292845
"FKBP3_HUMAN"	"Human"	-0.758904223843464	-0.620324916253115	-0.643733428893555	NA	NA	NA	-0.0172116946543334	-0.884894562862075	NA	-0.935753548984362	NA
"PSMD3_HUMAN"	"Human"	-0.364919064958177	-0.930520895007519	-0.427294830207869	-0.197250443620728	0.138875079086218	-0.078691482493967	-0.0555294936518773	0.110857258265606	-0.0619605789194033	0.216477321157071	-0.330990809099117
"PDI_YEAST"	"Yeast"	-0.181475846032384	0.941556778684664	0.92971142239696	NA	-0.568861345250251	0.309679050800115	1.28945208336746	-0.184575854464393	-0.0529272422051029	1.10902387559561	-0.22013393629468
"EIF3C_HUMAN"	"Human"	0.566571339873595	0.0395348771386791	1.02919033101754	0.370134339535301	0.0160252041085896	0.0738756088053641	0.00397204248843211	0.274814024159163	-0.0182519620059166	0.181933279495605	0.145766330501938
"DDX41_HUMAN"	"Human"	NA	NA	NA	0.718247949076396	NA	-0.635049311169333	0.48082994054943	NA	-0.86801152343039	NA	-2.65104713846452
"DD19A_HUMAN"	"Human"	0.783568577010832	NA	NA	-0.41440338174448	-0.588995884113102	-0.701662526625236	0.104780880720551	NA	NA	-0.10599407153676	NA
"ANX11_HUMAN"	"Human"	-0.285259074240082	-0.158839125342926	-0.570296929666027	0.236407623135887	0.472743208660525	0.428050714622124	0.226255297960261	-0.252335603654651	-0.634140092676922	0.155965378250098	-0.135186858868162
"NOP14_HUMAN"	"Human"	NA	NA	NA	1.05413478958934	-0.261383480680505	-0.378079754119344	0.0631952268956773	1.26841465110503	0.552248433530159	0.600161578256076	-0.922034460342382
"LMNA_HUMAN"	"Human"	-0.146478414231295	0.106644200847728	-0.558777248368401	0.114076327298599	0.0529773350992218	0.107812029191161	0.159580294791454	-0.205348219352963	-0.223095544286188	-0.340818537004042	-0.201254029721133
"NSF1C_HUMAN"	"Human"	0.197555498147964	1.0059772087053	0.411409801056054	0.659135755407497	0.199271669560278	0.150334329483218	-0.0626150258430828	0.344005485349768	0.771168027250747	-0.427533930310762	-0.467499651259801
"BRD4_HUMAN"	"Human"	NA	NA	NA	NA	NA	-0.701405127300043	-0.736288955129285	NA	NA	0.766130096464482	NA
"HS90A_HUMAN"	"Human"	1.50028573099245	1.30158022934046	0.850458079492418	0.172134762719195	-0.0085820039488391	0.228941570264301	0.0694296748864428	-0.214747351919578	-0.280637037384046	-0.222597534379596	-0.209896639159177
"FKBP5_HUMAN"	"Human"	0.81050673479428	1.81878648106941	1.56667544996821	-0.609992475923448	-0.636141123894741	0.021337078547328	-0.350598690453634	NA	0.42581943415919	-1.85740852529712	NA
"RAB6A_HUMAN"	"Human"	-1.2510495574647	NA	NA	1.07239110031837	0.439486082682409	0.396698152399069	1.11660721327799	NA	NA	NA	NA
"HS74L_HUMAN"	"Human"	0.62951114567402	1.19123076914678	0.90890440552757	-0.41611202119804	-0.197596999519573	-0.1445216672169	0.069509735442332	NA	-0.235616932504668	-0.545583484699826	0.368541699935933
"RRP5_HUMAN"	"Human"	NA	NA	NA	-0.156278787650719	0.0978319086241761	0.0943160521602785	-0.89321224005965	0.92212129623793	0.834347553104047	0.791275805646214	0.724735846695992
"PRDX5_HUMAN"	"Human"	0.0444875236475515	-0.166366164840727	NA	-0.338722268698834	NA	-0.579961663418776	-0.467056304562777	NA	NA	-0.589064150101236	NA
"DSRAD_HUMAN"	"Human"	NA	-3.33133531230558	NA	-0.488156591171465	1.29213338558602	-1.02054199684336	-0.711723300256665	0.0216168598647478	-0.338059017440063	-1.08989731761518	-0.154157752136969
"TEBP_HUMAN"	"Human"	1.20304827145751	0.928102575036164	1.21557740425451	NA	NA	-1.7197101355715	NA	NA	NA	NA	NA
"GEMI5_HUMAN"	"Human"	NA	-1.24470905965328	NA	0.336428121067161	0.739152236723153	0.530545700335112	0.386241503338512	0.413806151238028	0.44169857987475	-0.546508070803458	-0.641173649171502
"NCKP1_HUMAN"	"Human"	NA	NA	NA	-1.06737758984285	-0.601310319072498	NA	NA	NA	NA	NA	NA
"ZC3C1_HUMAN"	"Human"	NA	NA	NA	NA	NA	-0.0147754056423326	NA	NA	NA	NA	NA
"VRK1_HUMAN"	"Human"	0.262810617057701	0.375844150619968	NA	-0.618790762374299	0.710016819340516	-0.0330364236784308	0.544771080618162	NA	NA	NA	NA
"STK26_HUMAN"	"Human"	-0.411796124287899	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SP16H_HUMAN"	"Human"	0.239250027570693	0.207703108055308	0.409909473649185	-0.505002117129526	0.350656285584129	-0.421895483768151	0.284796002049376	0.260736590270795	-0.0414983290931907	-0.405409438298634	0.242634352172432
"SGT1_HUMAN"	"Human"	0.00323427335582693	0.374402309653849	NA	0.781818589599286	0.127856803568325	0.504867282782958	-0.320829162574484	-0.54861934897242	-2.55103321628213	0.673980361857177	-0.823431153060749
"SAHH_HUMAN"	"Human"	0.615487831823932	0.878717115699338	0.75696416326114	-0.336388099969625	-0.398619194009123	-0.183263189769201	0.061336289238892	-0.258538259179825	0.130757981183546	0.0219735356429288	0.0630515276017675
"DHX30_HUMAN"	"Human"	-0.162031953153017	0.23396968101596	0.548793000914805	0.171034879276896	1.00021450611147	0.569867304548291	-0.269427610707178	-1.44569362814187	-0.129363163761025	-0.06440293867742	0.71835060652069
"IMDH2_HUMAN"	"Human"	0.376076863084614	0.0774484219858431	0.252603970020575	0.102976618733142	-0.0932592146996391	0.0630961165233372	0.0770394371405557	0.329872576660843	0.0941842861407196	-0.205128099078124	-0.570654902283
"FHOD1_HUMAN"	"Human"	0.129025307050699	NA	NA	-0.240540130248012	-1.09953907173162	-0.447716540113742	-0.171179926964049	0.642791514037081	-0.609311806063237	-0.430212676643007	-0.57831994283248
"GALM_HUMAN"	"Human"	NA	NA	NA	NA	1.68262773145854	NA	NA	NA	NA	NA	NA
"ECHA_HUMAN"	"Human"	1.34425107031617	0.841495754676989	0.921447810116559	-0.306432422594314	0.22744144295002	-0.316245813608386	-0.295472991101987	0.762343947952508	0.193654662072782	-0.462527112318063	-0.70309344884601
"IF4G2_HUMAN"	"Human"	-0.459666501227701	-0.567723969559647	NA	0.604651457724547	1.56788045792294	0.194246216196729	0.802239718391712	NA	0.159616761861144	-0.890185413991099	-0.366704675280279
"PSD11_HUMAN"	"Human"	-0.0390473389051784	0.752289939784498	0.378488131586167	0.134964856636157	0.57364661251561	0.741683355192192	0.993936620764319	-0.355763791211524	-0.206988587072783	0.202606724563821	-0.848104429718913
"KTI12_HUMAN"	"Human"	NA	NA	NA	NA	-0.219783371310035	0.697793457356017	-0.807238548021895	-1.32821961262968	2.04547799292537	-0.521316155019388	-0.0971942971586471
"WDR12_HUMAN"	"Human"	2.47295108139133	2.41689136999193	NA	-0.816977660630614	-1.54931290534461	-1.62082579961522	-2.0094999599234	0.798380299348052	1.25250569416184	1.13032755164385	0.756971820858858
"IF4A3_HUMAN"	"Human"	-0.230080256503596	0.280539765313983	-0.291981342044255	-0.335447008951586	-0.245857471903892	-0.0727132822648205	-0.242799984644041	0.0111931968370665	0.179803911036658	0.254591769214209	0.0455967243474034
"TBL3_HUMAN"	"Human"	NA	-0.582082163522944	NA	0.226686468648113	0.0405028896662359	0.859308062731787	1.1918428380367	0.107096494298142	0.357712966678095	0.0822177279757518	-0.749968207263156
"CND1_HUMAN"	"Human"	NA	NA	NA	-0.254518075173869	0.249894174890058	-1.44109050638537	-0.35374262814023	0.149516479179008	0.377782846874104	-0.411896627078654	-0.280441156547759
"UB2E1_HUMAN"	"Human"	NA	NA	NA	-0.654127706362398	-0.881770414132191	0.212154051743616	0.222088112479854	NA	NA	NA	NA
"SMC1A_HUMAN"	"Human"	-0.675020180516581	-0.368091114922702	-1.45669445804954	1.0541565409957	1.50034944737451	1.31699293863435	0.638489682837384	-1.89556389228691	-0.899982075258564	0.552708865958385	-1.69754717440515
"ENPL_HUMAN"	"Human"	0.626533301412426	0.373463552915226	0.380438930940556	0.128201390741031	0.0305357952370517	-0.0782180075247372	-0.110976434238241	0.070982791757037	-0.191916943547093	-0.164166218608467	-0.336326376019611
"KAD2_HUMAN"	"Human"	-0.123906933786086	-0.295617278033353	-0.353016413326597	0.174314143359684	0.158498096360368	-0.000102112551785716	0.319143960866081	0.0158041744076465	-0.239559415948885	0.284004052205518	0.0298409117716778
"ASH2L_HUMAN"	"Human"	-0.553395217572799	NA	-0.0368831922719354	-0.184059918474785	0.410972706458286	0.50077167648817	0.267455017411147	NA	NA	1.69115615399283	-2.26842946744963
"SCAM2_HUMAN"	"Human"	NA	NA	NA	NA	NA	0.827554876748715	NA	NA	NA	NA	NA
"RLA0_YEAST"	"Yeast"	-1.1590059327839	0.314261546434678	1.0942447285156	0.185964081605108	-0.768094793435975	0.829030244978537	-0.144877756804671	NA	NA	NA	NA
"SSB1_YEAST"	"Yeast"	-0.688065345123271	1.61307604046452	0.929573668452238	-0.903333811525478	-0.0120723145011787	0.207525230053479	0.672093445924811	-0.672170288345379	-0.422949808467465	-0.189177916232242	0.465414299538112
"CCAR2_HUMAN"	"Human"	-0.892930068915147	NA	0.109033042767891	-0.31956014935992	0.706779671428196	0.345546869856958	0.260791016730234	0.267494509424797	0.14854721350734	0.461585221677993	0.211333209279669
"RS11_HUMAN"	"Human"	-0.540886401599573	-0.337768007138755	NA	NA	NA	NA	NA	0.676001265219716	0.17535582421081	0.438992349188574	-0.272771247172702
